day,mult,child,mb,p50_mo_volume,trade_frac,msgs_btw,n_trades
2026-01-02,1.0,40,374,40.0,0.0240388650031829,374,103694
2026-01-05,1.0,35,323,35.0,0.0278471188887437,323,107215
2026-01-06,1.0,28,241,28.0,0.0372730144022994,241,124384
2026-01-07,1.0,26,292,26.0,0.0307618199873105,292,118398
2026-01-08,1.0,37,348,37.0,0.0257935565298378,348,115099
2026-01-09,1.0,40,408,40.0,0.0220218679584393,408,96295
2026-01-12,1.0,40,292,40.0,0.0307940140075718,292,93018
2026-01-13,1.0,40,332,40.0,0.0270601140799549,332,91864
2026-01-14,1.0,40,383,40.0,0.0234761198919368,383,95883
2026-01-15,1.0,40,323,40.0,0.0278524255389835,323,92554
2026-01-16,1.0,40,265,40.0,0.033848882155372,265,107956
2026-01-20,1.0,40,290,40.0,0.0309581510050801,290,155262
2026-01-21,1.0,40,469,40.0,0.0191643897705654,469,120081
2026-01-22,1.0,40,349,40.0,0.0257668685319552,349,96035
2026-01-23,1.0,40,273,40.0,0.0329040105633715,273,92974
2026-01-26,1.0,40,327,40.0,0.0274678356871749,327,114387
2026-01-27,1.0,40,253,40.0,0.0354989566272627,253,108177
2026-01-28,1.0,40,337,40.0,0.0266907633414824,337,94121
2026-01-29,1.0,50,416,50.0,0.0215873646814416,416,149675
2026-01-30,1.0,50,588,50.0,0.0152992251343387,588,172619
