day,mult,child,mb,p50_mo_volume,trade_frac,msgs_btw,n_trades
2026-01-02,1.0,18,235,18.0,0.0382364105291195,235,82400
2026-01-05,1.0,18,231,18.0,0.0388598662803698,231,78894
2026-01-06,1.0,16,306,16.0,0.0293210384763159,306,58762
2026-01-07,1.0,20,284,20.0,0.0316401484673086,284,64607
2026-01-08,1.0,18,352,18.0,0.025514720764082,352,49544
2026-01-09,1.0,19,364,19.0,0.0246917743020666,364,47599
2026-01-12,1.0,20,247,20.0,0.0363364380957072,247,54581
2026-01-13,1.0,18,225,18.0,0.0398756504329829,225,99845
2026-01-14,1.0,12,257,12.0,0.034965527885771,257,86313
2026-01-15,1.0,19,316,19.0,0.0284607830953579,316,79240
2026-01-16,1.0,20,291,20.0,0.0308992217226046,291,61832
2026-01-20,1.0,15,336,15.0,0.0267441480773027,336,87636
2026-01-21,1.0,16,289,16.0,0.0310663601638261,289,131535
2026-01-22,1.0,21,280,21.0,0.0320542842566379,280,70495
2026-01-23,1.0,25,202,25.0,0.0444538671090521,202,102952
2026-01-26,1.0,26,248,26.0,0.0362756243419458,248,80380
2026-01-27,1.0,25,219,25.0,0.0410613540640254,219,98095
2026-01-28,1.0,23,240,23.0,0.0373794477759391,240,97315
2026-01-29,1.0,20,116,20.0,0.0773368968939727,116,369573
2026-01-30,1.0,20,177,20.0,0.0506986663084682,177,155503
